date,count,package
2020-05-20,56085,ggplot2
2020-05-21,49549,ggplot2
2020-05-22,46647,ggplot2
2020-05-23,42143,ggplot2
2020-05-24,41904,ggplot2
2020-05-25,47728,ggplot2
2020-05-26,52889,ggplot2
2020-05-27,53452,ggplot2
2020-05-28,52519,ggplot2
2020-05-29,66423,ggplot2
2020-05-30,46193,ggplot2
2020-05-31,47186,ggplot2
2020-06-01,59302,ggplot2
2020-06-02,64501,ggplot2
2020-06-03,64499,ggplot2
2020-06-04,60737,ggplot2
2020-06-05,58024,ggplot2
2020-06-06,46792,ggplot2
2020-06-07,46655,ggplot2
2020-06-08,64781,ggplot2
2020-06-09,61570,ggplot2
2020-06-10,60611,ggplot2
2020-06-11,60719,ggplot2
2020-06-12,54506,ggplot2
2020-06-13,45697,ggplot2
2020-06-14,47748,ggplot2
2020-06-15,60293,ggplot2
2020-06-16,60918,ggplot2
2020-06-17,56716,ggplot2
2020-06-18,64021,ggplot2
2020-06-19,60709,ggplot2
2020-06-20,46164,ggplot2
2020-06-21,45808,ggplot2
2020-06-22,60423,ggplot2
2020-06-23,58851,ggplot2
2020-06-24,53214,ggplot2
2020-06-25,53794,ggplot2
2020-06-26,51060,ggplot2
2020-06-27,38067,ggplot2
2020-06-28,38917,ggplot2
2020-06-29,53503,ggplot2
2020-06-30,54768,ggplot2
2020-07-01,50074,ggplot2
2020-07-02,51602,ggplot2
2020-07-03,46974,ggplot2
2020-07-04,35083,ggplot2
2020-07-05,37543,ggplot2
2020-07-06,51844,ggplot2
2020-07-07,51872,ggplot2
2020-07-08,51688,ggplot2
2020-07-09,51247,ggplot2
2020-07-10,50757,ggplot2
2020-07-11,35868,ggplot2
2020-07-12,37875,ggplot2
2020-07-13,49251,ggplot2
2020-07-14,52927,ggplot2
2020-07-15,51331,ggplot2
2020-07-16,51781,ggplot2
2020-07-17,47794,ggplot2
2020-07-18,39718,ggplot2
2020-07-19,38070,ggplot2
2020-07-20,53887,ggplot2
2020-07-21,52269,ggplot2
2020-07-22,50340,ggplot2
2020-07-23,51436,ggplot2
2020-07-24,47788,ggplot2
2020-07-25,39144,ggplot2
2020-07-26,39036,ggplot2
2020-07-27,49406,ggplot2
2020-07-28,48598,ggplot2
2020-07-29,48137,ggplot2
2020-07-30,47469,ggplot2
2020-07-31,44269,ggplot2
2020-08-01,36606,ggplot2
2020-08-02,35332,ggplot2
2020-08-03,50816,ggplot2
2020-08-04,50676,ggplot2
2020-08-05,52680,ggplot2
2020-08-06,49193,ggplot2
2020-08-07,45563,ggplot2
2020-08-08,35133,ggplot2
2020-08-09,36155,ggplot2
2020-08-10,47625,ggplot2
2020-08-11,51114,ggplot2
2020-08-12,48458,ggplot2
2020-08-13,49645,ggplot2
2020-08-14,44313,ggplot2
2020-08-15,35502,ggplot2
2020-08-16,39237,ggplot2
2020-08-17,48309,ggplot2
2020-08-18,50624,ggplot2
2020-08-19,50317,ggplot2
2020-08-20,46390,ggplot2
2020-08-21,45432,ggplot2
2020-08-22,37043,ggplot2
2020-08-23,36787,ggplot2
2020-08-24,51538,ggplot2
2020-08-25,52207,ggplot2
2020-08-26,52950,ggplot2
2020-08-27,51600,ggplot2
2020-08-28,46323,ggplot2
2020-08-29,36264,ggplot2
2020-08-30,36953,ggplot2
2020-08-31,49673,ggplot2
2020-09-01,52930,ggplot2
2020-09-02,55732,ggplot2
2020-09-03,58441,ggplot2
2020-09-04,48165,ggplot2
2020-09-05,36310,ggplot2
2020-09-06,37284,ggplot2
2020-09-07,48814,ggplot2
2020-09-08,54889,ggplot2
2020-09-09,57006,ggplot2
2020-09-10,56472,ggplot2
2020-09-11,52556,ggplot2
2020-09-12,37275,ggplot2
2020-09-13,37507,ggplot2
2020-09-14,56306,ggplot2
2020-09-15,52343,ggplot2
2020-09-16,44555,ggplot2
2020-09-17,58460,ggplot2
2020-09-18,65126,ggplot2
2020-09-19,43116,ggplot2
2020-09-20,44278,ggplot2
2020-09-21,62429,ggplot2
2020-09-22,65275,ggplot2
2020-09-23,62603,ggplot2
2020-09-24,62588,ggplot2
2020-09-25,58161,ggplot2
2020-09-26,43607,ggplot2
2020-09-27,45068,ggplot2
2020-09-28,60917,ggplot2
2020-09-29,63517,ggplot2
2020-09-30,64071,ggplot2
2020-10-01,60625,ggplot2
2020-10-02,56791,ggplot2
2020-10-03,41960,ggplot2
2020-10-04,43545,ggplot2
2020-10-05,60358,ggplot2
2020-10-06,64249,ggplot2
2020-10-07,62920,ggplot2
2020-10-08,61476,ggplot2
2020-10-09,54174,ggplot2
2020-10-10,43268,ggplot2
2020-10-11,44827,ggplot2
2020-10-12,60500,ggplot2
2020-10-13,62278,ggplot2
2020-10-14,62591,ggplot2
2020-10-15,62312,ggplot2
2020-10-16,56115,ggplot2
2020-10-17,42173,ggplot2
2020-10-18,42621,ggplot2
2020-10-19,60789,ggplot2
2020-10-20,62682,ggplot2
2020-10-21,61665,ggplot2
2020-10-22,60086,ggplot2
2020-10-23,54216,ggplot2
2020-10-24,41116,ggplot2
2020-10-25,40229,ggplot2
2020-10-26,57844,ggplot2
2020-10-27,61206,ggplot2
2020-10-28,59190,ggplot2
2020-10-29,58982,ggplot2
2020-10-30,55383,ggplot2
2020-10-31,40497,ggplot2
2020-11-01,41434,ggplot2
2020-11-02,58532,ggplot2
2020-11-03,61838,ggplot2
2020-11-04,60104,ggplot2
2020-11-05,60595,ggplot2
2020-11-06,54649,ggplot2
2020-11-07,42714,ggplot2
2020-11-08,43118,ggplot2
2020-11-09,63408,ggplot2
2020-11-10,73909,ggplot2
2020-11-11,73514,ggplot2
2020-11-12,71788,ggplot2
2020-11-13,66148,ggplot2
2020-11-14,52925,ggplot2
2020-11-15,54136,ggplot2
2020-11-16,69719,ggplot2
2020-11-17,74014,ggplot2
2020-11-18,71236,ggplot2
2020-11-19,70541,ggplot2
2020-11-20,66101,ggplot2
2020-11-21,53323,ggplot2
2020-11-22,51742,ggplot2
2020-11-23,67641,ggplot2
2020-11-24,65529,ggplot2
2020-11-25,51643,ggplot2
2020-11-26,58332,ggplot2
2020-11-27,55822,ggplot2
2020-11-28,47607,ggplot2
2020-11-29,52188,ggplot2
2020-11-30,67441,ggplot2
2020-12-01,63422,ggplot2
2020-12-02,43530,ggplot2
2020-12-03,35842,ggplot2
2020-12-04,32038,ggplot2
2020-12-05,20713,ggplot2
2020-12-06,21105,ggplot2
2020-12-07,34842,ggplot2
2020-12-08,33687,ggplot2
2020-12-09,35116,ggplot2
2020-12-10,33535,ggplot2
2020-12-11,30070,ggplot2
2020-12-12,17907,ggplot2
2020-12-13,19076,ggplot2
2020-12-14,31005,ggplot2
2020-12-15,32706,ggplot2
2020-12-16,36270,ggplot2
2020-12-17,31114,ggplot2
2020-12-18,25871,ggplot2
2020-12-19,15473,ggplot2
2020-12-20,15716,ggplot2
2020-12-21,25088,ggplot2
2020-12-22,65557,ggplot2
2020-12-23,23347,ggplot2
2020-12-24,15373,ggplot2
2020-12-25,11328,ggplot2
2020-12-26,12529,ggplot2
2020-12-27,13121,ggplot2
2020-12-28,21091,ggplot2
2020-12-29,49517,ggplot2
2020-12-30,31306,ggplot2
2020-12-31,27769,ggplot2
2021-01-01,13981,ggplot2
2021-01-02,25382,ggplot2
2021-01-03,18964,ggplot2
2021-01-04,34673,ggplot2
2021-01-05,35438,ggplot2
2021-01-06,32634,ggplot2
2021-01-07,38040,ggplot2
2021-01-08,30798,ggplot2
2021-01-09,18929,ggplot2
2021-01-10,19562,ggplot2
2021-01-11,36066,ggplot2
2021-01-12,37119,ggplot2
2021-01-13,45102,ggplot2
2021-01-14,63025,ggplot2
2021-01-15,44640,ggplot2
2021-01-16,56211,ggplot2
2021-01-17,55811,ggplot2
2021-01-18,71079,ggplot2
2021-01-19,59393,ggplot2
2021-01-20,40213,ggplot2
2021-01-21,40012,ggplot2
2021-01-22,35507,ggplot2
2021-01-23,20458,ggplot2
2021-01-24,20896,ggplot2
2021-01-25,38929,ggplot2
2021-01-26,40728,ggplot2
2021-01-27,40419,ggplot2
2021-01-28,38984,ggplot2
2021-01-29,33934,ggplot2
2021-01-30,20647,ggplot2
2021-01-31,20581,ggplot2
2021-02-01,40337,ggplot2
2021-02-02,41736,ggplot2
2021-02-03,40497,ggplot2
2021-02-04,40779,ggplot2
2021-02-05,35407,ggplot2
2021-02-06,20557,ggplot2
2021-02-07,20808,ggplot2
2021-02-08,37624,ggplot2
2021-02-09,39552,ggplot2
2021-02-10,39354,ggplot2
2021-02-11,37075,ggplot2
2021-02-12,31564,ggplot2
2021-02-13,19820,ggplot2
2021-02-14,18340,ggplot2
2021-02-15,34561,ggplot2
2021-02-16,37124,ggplot2
2021-02-17,38785,ggplot2
2021-02-18,38857,ggplot2
2021-02-19,34408,ggplot2
2021-02-20,19840,ggplot2
2021-02-21,19918,ggplot2
2021-02-22,38234,ggplot2
2021-02-23,41366,ggplot2
2021-02-24,44647,ggplot2
2021-02-25,44638,ggplot2
